0,"n1_up"
1,"n1_down"
2,"n1_left"
3,"n1_right"
4,"n2_up"
5,"n2_down"
6,"n2_left"
7,"n2_right"
8,"n3_up"
9,"n3_down"
10,"n3_left"
11,"n3_right"
12,"n4_up"
13,"n4_down"
14,"n4_left"
15,"n4_right"
16,"n5_up"
17,"n5_down"
18,"n5_left"
19,"n5_right"
20,"t1_up"
21,"t2_up"
22,"t3_up"
23,"t4_up"
24,"t5_up"
25,"t1_down"
26,"t2_down"
27,"t3_down"
28,"t4_down"
29,"t5_down"
